Order ID,Order Date,Ship Mode,Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Year,Month,Month_Name,Profit Margin
CA-2020-100000,2021-08-23 16:03:59.195477056,Same Day,Consumer,Ohio,West,Furniture,Furnishings,469.77,6,0.3,91.84,2021,8,Aug,19.55
CA-2021-100001,2023-03-11 18:21:14.148196320,First Class,Corporate,Pennsylvania,West,Office Supplies,Paper,107.59,12,0.1,34.84,2023,3,Mar,32.38
CA-2022-100002,2021-02-14 07:23:05.280432280,Same Day,Consumer,Pennsylvania,West,Office Supplies,Paper,168.44,9,0.3,-24.79,2021,2,Feb,-14.72
CA-2023-100003,2021-10-28 04:37:57.400310200,First Class,Corporate,Texas,Central,Furniture,Tables,70.22,8,0.3,4.39,2021,10,Oct,6.25
CA-2020-100004,2021-03-15 07:22:52.312002800,First Class,Consumer,Washington,East,Technology,Copiers,22.23,9,0.0,5.04,2021,3,Mar,22.67
CA-2021-100005,2020-09-03 14:35:56.721869216,Same Day,Consumer,California,East,Technology,Phones,510.15,4,0.0,51.18,2020,9,Sep,10.03
CA-2022-100006,2023-05-25 20:34:52.960424272,Same Day,Home Office,Texas,West,Technology,Machines,564.37,8,0.0,153.53,2023,5,May,27.2
CA-2023-100007,2022-11-01 19:31:07.273727920,Standard Class,Consumer,New York,West,Office Supplies,Paper,104.43,14,0.0,20.12,2022,11,Nov,19.27
CA-2020-100008,2020-08-27 12:32:40.394256264,Same Day,Corporate,Georgia,South,Furniture,Chairs,287.7,12,0.1,31.16,2020,8,Aug,10.83
CA-2021-100009,2022-10-12 08:38:22.616700848,Second Class,Corporate,New York,Central,Office Supplies,Paper,100.39,6,0.1,0.78,2022,10,Oct,0.78
CA-2022-100010,2020-07-26 19:40:55.175864312,Standard Class,Corporate,New York,West,Technology,Copiers,198.04,9,0.1,71.6,2020,7,Jul,36.15
CA-2023-100011,2021-01-27 18:37:52.717266220,Same Day,Home Office,California,West,Office Supplies,Storage,317.08,10,0.0,107.93,2021,1,Jan,34.04
CA-2020-100012,2023-04-10 18:53:39.412618192,Standard Class,Corporate,Illinois,West,Office Supplies,Storage,258.55,1,0.2,0.55,2023,4,Apr,0.21
CA-2021-100013,2020-08-14 14:14:19.878921300,Standard Class,Home Office,Florida,East,Technology,Copiers,567.35,6,0.1,191.19,2020,8,Aug,33.7
CA-2022-100014,2020-07-05 20:31:51.402411568,First Class,Home Office,Georgia,South,Technology,Copiers,249.36,10,0.1,87.09,2020,7,Jul,34.93
CA-2023-100015,2022-04-10 07:56:13.772952416,First Class,Consumer,New York,West,Technology,Machines,152.64,10,0.5,-3.95,2022,4,Apr,-2.59
CA-2020-100016,2020-09-06 17:59:02.722769800,First Class,Consumer,Washington,South,Technology,Phones,69.31,2,0.0,21.74,2020,9,Sep,31.37
CA-2021-100017,2021-04-18 04:50:16.600790512,First Class,Home Office,New York,Central,Furniture,Furnishings,91.97,12,0.0,18.44,2021,4,Apr,20.05
CA-2022-100018,2020-08-23 01:36:10.951118228,First Class,Corporate,Pennsylvania,Central,Furniture,Tables,333.64,3,0.2,21.27,2020,8,Aug,6.38
CA-2023-100019,2020-05-10 21:37:33.804973232,First Class,Home Office,Florida,East,Technology,Accessories,33.06,9,0.3,-0.26,2020,5,May,-0.79
CA-2020-100020,2022-01-27 12:03:25.333466752,Standard Class,Consumer,Washington,South,Furniture,Bookcases,448.45,5,0.0,192.61,2022,1,Jan,42.95
CA-2021-100021,2022-11-02 23:34:08.111272320,First Class,Home Office,Pennsylvania,South,Technology,Accessories,112.04,5,0.2,21.74,2022,11,Nov,19.4
CA-2022-100022,2023-06-22 20:02:01.759143440,Second Class,Corporate,Illinois,South,Technology,Accessories,65.46,1,0.4,-10.03,2023,6,Jun,-15.32
CA-2023-100023,2023-02-16 19:52:05.211387392,Same Day,Home Office,California,East,Furniture,Tables,49.47,10,0.1,10.88,2023,2,Feb,21.99
CA-2020-100024,2020-07-03 19:26:34.936708860,Same Day,Consumer,Illinois,South,Furniture,Chairs,291.3,12,0.0,83.77,2020,7,Jul,28.76
CA-2021-100025,2021-10-14 21:33:40.373242608,First Class,Home Office,California,West,Office Supplies,Binders,146.26,14,0.2,31.42,2021,10,Oct,21.48
CA-2022-100026,2023-01-03 11:42:44.687046576,Standard Class,Corporate,Illinois,West,Technology,Phones,726.88,12,0.0,64.06,2023,1,Jan,8.81
